h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.89704,0.63974,2.89704,0.63974,"{'att': 138, 'def': 7}","{'att': 373, 'def': 30}",16,2,4,0,2.7229,w,2023-08-18 18:30:00,1,0,0,3,2.2573
h,2.82296,0.726241,2.06518,0.726241,"{'att': 252, 'def': 25}","{'att': 364, 'def': 22}",14,6,3,1,2.6955,w,2023-08-27 15:30:00,1,0,0,3,1.3389389999999999
a,2.14949,0.201237,2.14949,0.201237,"{'att': 202, 'def': 31}","{'att': 306, 'def': 8}",13,2,2,1,2.7231,w,2023-09-02 16:30:00,1,0,0,3,1.9482530000000002
h,2.74374,2.4584,2.74374,1.70062,"{'att': 362, 'def': 23}","{'att': 379, 'def': 23}",10,16,2,2,1.5792,d,2023-09-15 18:30:00,0,1,0,1,1.0431199999999998
h,6.02607,0.0892044,5.2683,0.0892044,"{'att': 223, 'def': 25}","{'att': 326, 'def': 27}",22,2,7,0,2.9992,w,2023-09-23 13:30:00,1,0,0,3,5.1790956
a,1.95099,0.793383,1.19322,0.793383,"{'att': 230, 'def': 25}","{'att': 404, 'def': 26}",7,1,2,2,2.3247,d,2023-09-30 16:30:00,0,1,0,1,0.399837
h,2.37438,0.0704987,2.37438,0.0704987,"{'att': 194, 'def': 17}","{'att': 499, 'def': 11}",24,2,3,0,2.8859,w,2023-10-08 15:30:00,1,0,0,3,2.3038813
a,1.68693,0.975025,1.68693,0.975025,"{'att': 216, 'def': 17}","{'att': 372, 'def': 30}",14,5,3,1,1.9512,w,2023-10-21 16:30:00,1,0,0,3,0.711905
h,5.884,0.924873,5.884,0.924873,"{'att': 286, 'def': 28}","{'att': 257, 'def': 16}",11,9,8,0,2.979,w,2023-10-28 13:30:00,1,0,0,3,4.9591270000000005
a,2.86067,1.47623,2.86067,1.47623,"{'att': 284, 'def': 17}","{'att': 359, 'def': 37}",13,15,4,0,2.3028,w,2023-11-04 17:30:00,1,0,0,3,1.38444
h,2.60786,1.04526,2.60786,1.04526,"{'att': 166, 'def': 16}","{'att': 504, 'def': 23}",18,2,4,2,2.412,w,2023-11-11 14:30:00,1,0,0,3,1.5626
