id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
356,Alexander Meier,26,2209,19,15.395929794758558,2,1.2686933176591992,80,22,0,0,F M S,Eintracht Frankfurt,16,12.364835809916258,12.408803629688919,1.9156572110950947
227,Robert Lewandowski,31,2493,17,17.72217770665884,5,4.644012862816453,104,32,0,0,F M S,Bayern Munich,16,16.96440165489912,23.31543641909957,4.92482384480536
392,Arjen Robben,21,1681,17,10.364112544804811,7,7.505978640168905,88,50,0,0,D F M S,Bayern Munich,15,8.848719526082277,20.820979438722134,8.605797499418259
158,Bas Dost,21,1532,16,11.341979898512363,4,2.659186404198408,43,15,1,0,F S,Wolfsburg,16,11.341979898512363,15.911893963813782,2.5383046250790358
318,Pierre-Emerick Aubameyang,33,2724,16,15.396766778081656,6,6.378021429292858,102,46,4,0,F M S,Borussia Dortmund,14,13.881214778870344,20.85270912759006,2.512648966163397
224,Thomas Müller,32,2382,13,14.078109433874488,10,6.459185007959604,83,40,1,0,F M S,Bayern Munich,10,11.804781360551715,23.158113352954388,6.340481746941805
341,Franco Di Santo,26,2301,13,9.417815536260605,2,1.7892142124474049,54,24,8,0,F,Werder Bremen,10,6.386788010597229,9.532516993582249,2.3856412060558796
186,Karim Bellarabi,33,2731,12,10.108169626444578,6,4.98108253441751,104,45,5,0,F M S,Bayer Leverkusen,12,10.108169626444578,18.11762835457921,5.559333937242627
210,Raffael,31,2386,12,10.890817238017917,2,4.342749115079641,67,42,1,0,F M S,Borussia M.Gladbach,12,10.890817238017917,20.30747900903225,8.150456285104156
754,Shinji Okazaki,32,2787,12,9.83270476013422,3,3.2734946897253394,59,26,4,0,F S,Mainz 05,12,9.83270476013422,12.56701660528779,2.356663800776005
155,Max Kruse,32,2586,11,11.078696148470044,9,8.65363187622279,65,77,2,0,F S,Borussia M.Gladbach,8,8.80536986514926,21.17549055442214,9.910093931481242
420,Patrick Herrmann,32,2214,11,9.384360551834106,4,5.1314405258744955,50,34,5,0,F M S,Borussia M.Gladbach,11,9.384360551834106,16.353567346930504,6.580174368806183
453,Son Heung-Min,30,2305,11,5.336322458460927,2,2.7342332247644663,63,39,4,0,M S,Bayer Leverkusen,11,5.336322458460927,10.994485611096025,5.067229459062219
119,Anthony Ujah,32,2357,10,7.948405441828072,3,4.075045397505164,59,33,2,0,F S,FC Cologne,10,7.948405441828072,12.668221244588494,3.046834109351039
208,Lars Stindl,21,1798,10,6.093045482411981,3,3.359395185019821,51,33,7,1,M S,Hannover 96,9,5.335269482806325,9.146016255021095,3.9367344714701176
273,Raúl Bobadilla,32,2629,10,10.460188976489007,2,2.7539713326841593,83,41,4,1,F M S,Augsburg,10,10.460188976489007,11.91606995742768,2.5326402857899666
291,Haris Seferovic,32,2855,10,9.434237819164991,5,5.471470756456256,94,34,8,1,F M,Eintracht Frankfurt,10,9.434237819164991,16.650214478373528,6.137012177146971
447,Kevin De Bruyne,34,3052,10,7.724068632349372,20,14.308948811143637,96,112,3,0,F M,Wolfsburg,10,7.724068632349372,29.50168786942959,13.275837710127234
190,Stefan Kießling,34,2583,9,10.359310634434223,4,2.7110076528042555,56,35,4,0,F S,Bayer Leverkusen,9,10.359310634434223,13.720589928328991,3.652113825082779
288,Stefan Aigner,28,2094,9,7.044445146806538,0,1.952589268796146,43,28,8,0,M S,Eintracht Frankfurt,9,7.044445146806538,10.180807400494814,3.545726163312793
339,Eric Maxim Choupo-Moting,31,2559,9,7.072097857482731,6,4.776003364473581,68,36,0,0,F M S,Schalke 04,7,4.798764509148896,10.415340485051274,4.128838584758341
340,Klaas-Jan Huntelaar,28,2439,9,10.226353202015162,3,2.1830247892066836,74,29,5,1,F S,Schalke 04,9,10.226353202015162,13.09086556173861,3.136668346822262
407,Martin Harnik,28,2247,9,9.138762723654509,2,2.701492426916957,52,18,1,2,F M S,VfB Stuttgart,9,9.138762723654509,11.594812169671059,2.3804242126643658
422,Mario Götze,32,2248,9,7.594283798709512,2,4.919823703356087,60,44,1,0,F M S,Bayern Munich,9,7.594283798709512,16.835454052314162,7.79183504730463
4248,Nils Petersen,19,720,9,7.257388286292553,2,1.4266801942139864,23,12,0,0,F S,"Freiburg,Werder Bremen",8,6.499613277614117,8.115517653524876,0.6233999924734235
