season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2008/09,56979,45,45,1,45,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2009/10,56979,45,45,82,2187,1,5,0,45,0,0,0,3,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2010/11,56979,55,54,133,3211,3,5,13,46,0,0,0,2,0,0,20,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2011/12,56979,65,56,95,2658,2,2,10,34,0,0,0,3,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2012/13,56979,60,48,95,1535,5,4,8,12,0,0,0,3,0,0,9,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2013/14,56979,60,62,124,3128,4,7,11,42,0,0,0,4,1,0,9,197,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2014/15,56979,60,66,162,3256,6,10,13,45,0,0,0,6,0,0,22,725,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2015/16,56979,70,65,57,1290,2,3,5,16,0,0,0,1,0,0,3,276,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
2016/17,56979,65,62,73,2116,1,4,7,28,0,0,0,8,0,0,9,467,507.4,554.3,93.0,115.5,0,0,0,0,0,0.00,0.00,0.00,0.00
2017/18,56979,55,53,75,2169,1,1,14,21,0,0,0,1,0,0,3,382,417.0,448.8,110.0,97.8,0,0,0,0,0,0.00,0.00,0.00,0.00
2018/19,56979,55,53,76,1976,1,3,12,14,0,0,0,1,1,0,2,397,358.8,311.7,182.0,85.4,0,0,0,0,0,0.00,0.00,0.00,0.00
2019/20,56979,55,52,116,2234,4,5,16,14,0,0,0,2,0,0,11,530,582.6,425.9,275.0,128.5,0,0,0,0,0,0.00,0.00,0.00,0.00
2020/21,56979,55,54,56,1704,1,2,4,23,0,0,0,0,0,0,2,345,358.0,262.3,108.0,72.9,0,0,0,0,0,0.00,0.00,0.00,0.00
2021/22,56979,50,49,110,2592,2,5,15,22,0,0,0,3,0,0,9,507,487.4,659.5,247.0,139.2,0,0,0,0,0,0.00,0.00,0.00,0.00
2022/23,56979,55,53,69,2060,0,3,8,30,0,0,0,2,0,0,0,401,315.2,525.8,185.0,103.0,0,0,0,0,23,1.35,3.59,4.93,31.96
2023/24,56979,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
